Student_ID,Department,Semester,Admission_Year,Attendance_Pct,CGPA,Num_Backlogs,Marks_Trend,Study_Hours_Per_Day
STU1496,ECE,8,2023,79.7,10.0,0.0,Stable,11.3
STU0544,Electronics,1,2022,,8.26,0.0,Improving,10.2
STU1269,Computer Science,2,2023,94.6,9.31,0.0,Improving,9.8
STU0529,IT,2,2023,,5.18,1.0,Declining,10.4
STU1095,Civil,7,2022,95.8,8.14,0.0,Improving,9.0
STU0808,Civil,1,2025,77.0,8.57,3.0,Declining,
STU0914,Computer Science,4,2024,78.5,,1.0,Declining,7.5
STU1073,Civil,6,2022,91.4,7.04,1.0,Declining,11.0
STU1204,Computer Science,1,2022,100.0,8.72,1.0,Improving,9.8
STU1175,Electronics,1,2025,99.3,8.69,0.0,Stable,9.3
STU0429,Information Technology,8,2025,100.0,9.93,0.0,Stable,8.6
STU1409,Civil,8,2023,69.3,9.43,3.0,Improving,4.8
STU1293,Civil,5,2024,74.7,7.75,0.0,Improving,9.8
STU0317,Civil,5,2025,77.6,8.55,0.0,Improving,8.6
STU0031,Civil,7,2025,54.0,6.5,5.0,Declining,7.4
STU0969,Elec,3,2023,75.2,7.32,1.0,Stable,5.8
STU0307,Computer Science,7,2023,74.6,7.13,0.0,Stable,4.8
STU0937,Computer Science,5,2023,73.7,8.29,0.0,Improving,9.0
STU0579,Mechanical,6,2025,83.0,5.59,0.0,Declining,8.4
STU0340,Electronics,7,2025,100.0,8.39,0.0,Declining,7.7
STU0480,Information Technology,3,2024,44.3,4.63,3.0,Declining,6.7
STU0678,Civil,4,2025,64.1,6.64,0.0,Stable,7.9
STU0608,Computer Science,1,2023,100.0,10.0,0.0,Stable,12.3
STU0372,Electronics,5,2024,77.3,7.09,1.0,Improving,
STU0469,Computer Science,5,2025,94.4,9.98,0.0,Stable,9.6
STU0276,Civil,3,2024,64.1,7.43,1.0,Improving,6.3
STU1048,Civil,7,2022,67.6,6.58,3.0,Declining,10.2
STU0933,Mechanical,2,2023,84.4,8.47,0.0,Stable,7.2
STU0702,Civil,7,2022,83.5,9.14,1.0,Improving,7.5
STU0487,Comp Science,1,2022,68.5,8.46,2.0,Declining,4.9
STU1173,Information Technology,5,2023,68.6,5.02,0.0,Declining,8.5
STU1390,Electronics,6,2022,57.4,5.17,1.0,Stable,4.4
STU0840,civil,4,2022,100.0,9.29,0.0,Improving,9.8
STU1363,Electronics,2,2024,95.3,,0.0,Improving,6.2
STU0100,Computer Science,2,2023,82.0,7.76,0.0,Stable,8.5
STU0847,Electronics,5,2025,70.1,8.05,0.0,Declining,5.1
STU0742,information technology,8,2022,74.5,7.15,0.0,Improving,3.8
STU0463,information technology,7,2025,82.2,7.54,2.0,Declining,7.7
STU0384,Electronics,7,2025,83.1,8.35,0.0,Improving,6.5
STU0507,Electronics,7,2022,79.3,8.71,3.0,Stable,8.6
STU0484,Information Technology,1,2024,70.6,-1.94,1.0,Stable,6.0
STU0169,Computer Science,5,2025,71.0,7.73,0.0,Stable,8.6
STU0060,mechanical,8,2022,100.0,9.07,0.0,Improving,13.4
STU0024,CS,4,2023,56.0,6.82,3.0,Declining,4.7
STU0921,Civil,1,2025,72.9,7.59,0.0,Stable,7.0
STU0345,Mechanical,2,2023,79.1,7.02,0.0,Stable,8.3
STU0050,Electronics,3,2024,62.8,5.51,4.0,Declining,5.7
STU1287,Civil,4,2022,80.9,6.83,0.0,Stable,7.4
STU1023,Civil,1,2024,85.1,6.09,2.0,Stable,9.0
STU0755,Civil,2,2024,68.4,5.36,0.0,Improving,5.4
STU0515,ECE,8,2024,82.4,7.7,2.0,Stable,
STU0221,Mechanical,7,2022,85.5,9.37,0.0,Improving,9.2
STU1069,Computer Science,3,2024,66.3,5.94,1.0,Declining,6.4
STU1161,Computer Science,4,2025,95.6,8.71,0.0,Improving,7.4
STU0066,Electronics,3,2024,,6.96,0.0,Stable,7.8
STU0430,Electronics,6,2023,84.5,7.65,3.0,Declining,9.4
STU0479,Information Technology,8,2025,90.7,9.68,0.0,Improving,8.3
STU0637,Computer Science,4,2025,71.0,7.47,0.0,Improving,8.9
STU0994,Mechanical,2,2022,50.0,5.16,2.0,Stable,2.3
STU1031,Information Technology,8,2025,67.4,5.65,3.0,Improving,6.3
STU0938,Computer Science,2,2025,66.2,6.01,1.0,Stable,4.8
STU0813,Computer Science,4,2023,100.0,,0.0,Stable,8.6
STU0683,Mechanical,3,2022,72.6,6.37,0.0,Declining,7.8
STU0240,Information Technology,8,2023,81.9,7.76,0.0,,8.5
STU0124,Civil,8,2025,88.3,6.95,2.0,Stable,8.0
STU0644,Civil,4,2025,87.3,7.35,0.0,Improving,12.4
STU0077,Computer Science,8,2022,100.0,10.0,0.0,,
STU0846,Information Technology,8,2023,68.9,8.98,2.0,Stable,7.7
STU1275,Civil,6,2022,54.3,5.44,1.0,Declining,5.3
STU0782,Computer Science,5,2022,100.0,8.04,0.0,Improving,12.1
STU0052,Electronics,1,2024,59.1,7.14,2.0,Declining,5.8
STU0071,Computer Science,4,2023,56.6,8.88,3.0,Declining,2.6
STU0434,Civil,3,2025,100.0,9.39,0.0,Improving,12.6
STU1286,Computer Science,4,2024,86.5,7.18,0.0,Improving,5.9
STU0241,Civil,2,2023,72.5,5.95,5.0,Declining,
STU0125,Computer Science,4,2025,79.6,,0.0,Declining,
STU1102,Computer Science,8,2025,70.1,8.39,0.0,Stable,3.7
STU0375,Computer Science,5,2024,77.8,5.98,5.0,Stable,6.9
STU1400,Civil,2,2022,85.1,7.6,0.0,Improving,8.0
STU0980,Civil,6,2023,97.2,8.99,0.0,Stable,8.6
STU0975,electronics,6,2024,50.7,5.43,4.0,Declining,7.1
STU0333,Computer Science,4,2023,66.2,6.69,2.0,Improving,5.6
STU1147,Civil,4,2025,64.4,7.54,3.0,Declining,
STU0260,Mechanical,7,2022,99.7,10.0,0.0,Stable,12.8
STU0176,MECHANICAL,3,2023,92.7,8.15,0.0,Improving,10.6
STU1484,Computer Science,5,2022,74.6,7.54,1.0,Declining,10.1
STU0716,Electronics,8,2022,64.1,5.69,0.0,Improving,5.5
STU0602,Electronics,7,2025,91.3,7.99,0.0,Stable,10.8
STU0899,Computer Science,5,2025,69.2,6.98,0.0,Stable,5.7
 STU1091 ,Information Technology,4,2023,66.4,8.39,4.0,Declining,7.0
STU1422,Computer Science,3,2024,65.8,6.26,2.0,Stable,4.9
STU1019,Mechanical,8,2023,78.6,7.04,0.0,Improving,6.7
STU1375,Information Technology,8,2022,73.1,5.29,0.0,Improving,8.3
STU1308,Computer Science,1,2023,84.3,,0.0,Declining,10.2
STU1337,Mech,1,2024,76.1,8.36,0.0,Improving,
STU0486,Civil,5,2023,87.3,7.46,0.0,Improving,9.4
STU0353,Computer Science,5,2025,88.2,10.0,1.0,Declining,10.1
STU0068,Mechanical,3,2024,98.6,10.0,0.0,Improving,9.8
STU0845,Information Technology,3,2025,65.6,8.13,4.0,Declining,8.6
STU0907,Information Technology,8,2022,71.8,7.81,0.0,Improving,9.0
STU0271,CIVIL,5,2023,74.5,5.28,5.0,Declining,10.1
STU1089,Electronics,4,2025,,7.4,2.0,Declining,1.9
STU0536,Information Technology,1,2025,100.0,10.0,0.0,Improving,9.7
STU1442,Civil,5,2025,79.8,7.81,0.0,Stable,8.3
STU0723,Mechanical,1,2024,100.0,6.94,0.0,Stable,8.4
STU0910,Mechanical,1,2023,72.2,8.47,2.0,Stable,7.1
STU0714,Civil,5,2022,72.5,6.95,0.0,Stable,5.6
STU0811,electronics,7,2022,76.3,7.93,0.0,Improving,10.5
STU0966,Mechanical,6,2024,80.1,6.82,1.0,Stable,9.5
STU0030,Electronics,4,2024,100.0,7.89,1.0,Stable,11.3
STU0586,Information Technology,7,2022,94.4,7.57,0.0,Improving,9.7
STU0539,Mechanical,8,2023,68.1,8.08,0.0,Improving,3.6
STU1053,Computer Science,3,2025,76.6,6.74,0.0,Improving,6.3
STU1213,Civil,1,2025,61.6,7.62,5.0,Declining,3.3
STU0136,Civil,6,2023,100.0,9.33,0.0,Stable,11.7
STU0680,Information Technology,5,2024,65.3,5.39,2.0,Improving,6.3
STU0426,Mechanical,4,2023,59.1,7.31,1.0,Stable,5.9
STU0527,information technology,2,2024,,7.3,2.0,Stable,5.1
STU1094,Mechanical,6,2023,84.8,,0.0,Improving,9.7
STU1439,Mechanical,6,2023,50.4,4.81,4.0,Declining,3.0
